,Date,Volume,Open,High,Low,Adj Close
1573,2018-12-04,126453132.0,23.7367,24.5787,23.4667,23.98
1572,2018-12-06,117430276.0,23.734,24.492,23.384,24.204
1571,2018-12-07,172265164.0,24.6,25.2993,23.8433,23.8643
1570,2018-12-10,98630066.0,24.0,24.3987,23.5413,24.3433
1569,2018-12-11,94477033.0,24.6607,24.8113,24.0153,24.4507
1568,2018-12-12,75295837.0,24.628,24.794,24.344,24.44
1567,2018-12-13,110222465.0,24.6767,25.1627,24.45,25.1193
1566,2018-12-14,94914328.0,25.0,25.1913,24.2887,24.3807
1565,2018-12-17,114972423.0,24.1333,24.38,22.9253,23.228
1564,2018-12-18,106273252.0,23.3693,23.4367,22.246,22.4687
1563,2018-12-19,123845548.0,22.5067,23.134,21.9827,22.198
1562,2018-12-20,135740767.0,21.8036,22.0193,20.7913,21.0253
1561,2018-12-21,119958225.0,21.16,21.5647,20.8293,21.318
1560,2018-12-24,83398653.0,20.9,20.9667,19.6797,19.6927
1559,2018-12-26,122146469.0,20.0,21.798,19.606,21.7393
1558,2018-12-27,128510711.0,21.3227,21.4781,20.1,21.0753
1557,2018-12-28,148781581.0,21.54,22.416,21.2273,22.258
1556,2018-12-31,94414423.0,22.5193,22.614,21.684,22.1867
1555,2019-01-02,174168963.0,20.4067,21.0087,19.92,20.6747
1554,2019-01-03,104228603.0,20.4667,20.6267,19.8253,20.024
1553,2019-01-04,110741270.0,20.4,21.2,20.182,21.1793
1552,2019-01-07,113135013.0,21.448,22.4493,21.1834,22.3307
1551,2019-01-08,104916353.0,22.7973,22.934,21.8013,22.3567
1550,2019-01-09,81399229.0,22.3667,22.9002,22.098,22.5687
1549,2019-01-10,90744270.0,22.2933,23.026,22.1193,22.998
1548,2019-01-11,75526132.0,22.806,23.2273,22.5847,23.1507
1547,2019-01-14,78490311.0,22.8253,22.8333,22.2667,22.2933
1546,2019-01-15,90718305.0,22.3333,23.2533,22.3,22.962
1545,2019-01-16,70158370.0,22.9853,23.4667,22.9,23.07
1544,2019-01-17,54917403.0,23.0807,23.4333,22.9433,23.154
1543,2019-01-18,361188719.0,21.5333,21.8087,19.982,20.1507
1542,2019-01-22,180781860.0,20.3213,20.5333,19.7,19.928
1541,2019-01-23,187696106.0,19.5,19.6333,18.7793,19.1727
1540,2019-01-24,119863605.0,18.8687,19.5787,18.6189,19.434
1539,2019-01-25,106541662.0,19.626,19.9013,19.3033,19.8027
1538,2019-01-28,96142107.0,19.5273,19.8307,19.1833,19.7587
1537,2019-01-29,69043960.0,19.6847,19.9038,19.4533,19.8307
1536,2019-01-30,158910521.0,20.03,20.6,19.8993,20.5847
1535,2019-01-31,188177756.0,20.0667,20.7709,19.6,20.468
1534,2019-02-01,108954216.0,20.3613,21.0733,20.2333,20.814
1533,2019-02-04,110161085.0,20.8653,21.02,20.1253,20.8593
1532,2019-02-05,101021034.0,20.8327,21.496,20.8166,21.4233
1531,2019-02-06,75470482.0,21.306,21.616,21.0416,21.148
1530,2019-02-07,97677401.0,20.8867,20.98,20.2,20.5007
1529,2019-02-08,87526126.0,20.4553,20.4963,19.9,20.3867
1528,2019-02-11,106710127.0,20.7733,21.24,20.7,20.856
1527,2019-02-12,82281244.0,21.08,21.2127,20.6413,20.7873
1526,2019-02-13,76955932.0,20.8233,20.85,20.3713,20.5447
1525,2019-02-14,77863266.0,20.2253,20.4513,20.0667,20.2513
1524,2019-02-15,58437196.0,20.3,20.5333,20.26,20.5253
1523,2019-02-19,61807769.0,20.4373,20.7696,20.3647,20.376
1522,2019-02-20,106994482.0,20.294,20.42,19.9333,20.1707
1521,2019-02-21,133212383.0,20.1207,20.216,19.3667,19.4153
1520,2019-02-22,85970657.0,19.6327,19.7667,19.4733,19.6473
1519,2019-02-25,93205468.0,19.8607,20.1936,19.8,19.918
1518,2019-02-26,128574071.0,19.4813,20.134,19.2513,19.8573
1517,2019-02-27,167161416.0,20.1187,21.0863,20.0367,20.9827
1516,2019-02-28,144993288.0,21.2613,21.3333,20.7207,21.3253
1515,2019-03-01,342731079.0,20.4627,20.4753,19.46,19.6527
1514,2019-03-04,256033222.0,19.8747,19.9333,18.852,19.024
1513,2019-03-05,280946860.0,18.8,18.9333,18.0067,18.436
1512,2019-03-06,154790473.0,18.432,18.7671,18.2927,18.416
1511,2019-03-07,141160384.0,18.5893,18.98,18.2833,18.4393
1510,2019-03-08,132086514.0,18.4607,19.0393,18.3927,18.9427
1509,2019-03-11,110584415.0,18.9013,19.4187,18.7,19.3947
1508,2019-03-12,112320499.0,19.0993,19.2047,18.7373,18.8907
1507,2019-03-13,102267759.0,18.9267,19.466,18.8467,19.264
1506,2019-03-14,105722017.0,19.4967,19.6927,19.2193,19.3307
1505,2019-03-15,221360289.0,18.9007,18.915,18.2933,18.362
1504,2019-03-18,153974323.0,18.4,18.5367,17.82,17.966
1503,2019-03-19,176614862.0,17.8333,18.22,17.564,17.8313
1502,2019-03-20,103229588.0,17.9793,18.3313,17.7533,18.24
1501,2019-03-21,88963831.0,18.1733,18.43,17.8967,18.268
1500,2019-03-22,130829185.0,18.172,18.1867,17.6,17.6353
